,importance
HRV_MinNN,0.22976870495271512
HRV_Prc20NN,0.11722027816487557
HRV_HTI,0.0766367509267931
HRV_MCVNN,0.04685141980511814
TR_Mean,0.04460711827063887
RS_Mean,0.042079409001819675
QR_Mean,0.04125039443193644
HRV_MadNN,0.033360956155854646
HRV_CVNN,0.031151526537169186
HRV_SDNN,0.02538350231061216
HRV_MedianNN,0.025278240440793773
QRS_Mean,0.02501460612954262
HRV_IQRNN,0.022123614470238653
fft_total,0.019525143907111273
TT_Mean,0.018889907576631802
PP_Mean,0.018444297654400827
QQ_Mean,0.015492965610317844
HRV_MeanNN,0.015248622164513333
HRV_MaxNN,0.01469718343057332
VLF_Rel,0.013698320276039884
HRV_RMSSD,0.013057757264037692
HRV_Prc80NN,0.012867022798986069
PR_Mean,0.012807512568292344
HRV_CVSD,0.009952774776921112
HRV_SDSD,0.009907783696356452
HRV_TINN,0.009398784616960072
HR_Mean,0.008762247501122773
SS_Mean,0.007883220234907267
HRV_pNN20,0.007852232616055981
fft_ratio,0.007387219730544544
HF_Norm,0.007211477910509019
LF_Rel,0.005695781652065811
LF_Norm,0.004232804232804267
HF_Rel,0.0036562515160737615
HRV_pNN50,0.002604166666666605
VLF_Peak,0.0
LF_Peak,0.0
HF_Peak,0.0
