,importance
stdMFCCS_12,0.17737244160950372
stdMFCCS_17,0.08204157850057613
skewMFCCS_16,0.04669341817514087
totalEnergyWavelet,0.045387034571861024
distributionEnergy_2,0.04232168724128236
energyWavelet_1,0.03820556219454858
entropyWavelet_2,0.03753851187848334
energyWavelet_2,0.025581096153356183
entropyWavelet_3,0.022231211411539133
medianMFCCS_14,0.02050394972667097
skewMFCCS_19,0.01961891097293106
sma,0.018864237614237746
stdMFCCS_16,0.018266824216650494
medianMFCCS_8,0.01764134687364999
kurtMFCCS_12,0.017577983720793194
stdMFCCS_13,0.017074580701629847
skewEda,0.015740754367331335
medianMFCCS_19,0.01540832049306625
entropyWavelet_1,0.015049943683907933
sumPeakAmplitude,0.01358920394738702
meanMFCCS_3,0.013493201342664067
skewMFCCS_17,0.012094343388414657
skewMFCCS_10,0.011466165413533857
skewMFCCS_0,0.011096747133295063
stdMFCCS_0,0.010686232902453891
meanMFCCS_4,0.010468177307980452
sumRiseTime,0.0103062994281152
energyWavelet_3,0.010107858243451458
meanMFCCS_19,0.009291834756231087
meanMFCCS_2,0.008743162749833
medianMFCCS_3,0.008416276346604244
activity,0.007271196818219707
stdMFCCS_3,0.006978449601400376
meanMFCCS_7,0.006966213862765581
stdMFCCS_14,0.006836801191639896
kurtMFCCS_7,0.006628787878787857
kurtMFCCS_3,0.0063782604268760755
meanMFCCS_12,0.0059612518628912835
medianMFCCS_4,0.0059612518628912835
stdMFCCS_1,0.0056350429231784285
medianMFCCS_10,0.005464480874317008
skewMFCCS_4,0.004972804972804993
kurtMFCCS_15,0.0048573163327262124
medianMFCCS_2,0.004678362573099453
stdMFCCS_19,0.004608294930875547
meanMFCCS_11,0.0044444444444444375
meanMFCCS_14,0.004098360655737756
stdMFCCS_10,0.004074644752610853
medianMFCCS_9,0.0037037037037036917
distributionEnergy_0,0.00370256615889513
skewMFCCS_8,0.0034291941272934696
stdMFCCS_11,0.003389830508474586
entropyWavelet_0,0.003218694885361535
meanMFCCS_6,0.003130511463844795
kurtMFCCS_9,0.0026455026455027004
meanEda,0.0026455026455026623
meanMFCCS_16,0.0026455026455026497
medianMFCCS_15,0.0026455026455026497
medianMFCCS_11,0.002644814429413667
medianMFCCS_0,0.002604166666666605
kurtMFCCS_4,0.0025985663082437136
medianMFCCS_12,0.0024691358024691475
meanNegativeDerivative,0.002351557907113478
kurtMFCCS_19,0.0022349936143039426
meanPeakAmplitude,0.002150537634408589
skewMFCCS_18,0.0021505376344085267
kurtMFCCS_16,0.0021505376344085267
skewMFCCS_7,0.002016129032258056
skewMFCCS_9,0.0018214936247722732
stdMFCCS_4,0.0018209876543209922
medianMFCCS_13,0.0018209876543209922
kurtMFCCS_5,0.0018204645323290224
kurtMFCCS_2,0.0018031555221637754
meanMFCCS_18,0.0017486338797814398
kurtMFCCS_18,0.0016393442622951028
meanMFCCS_9,0.001543209876543205
skewMFCCS_13,0.001543209876543205
medianMFCCS_6,0.0015352589123081245
kurtEda,0.0014571948998178686
meanMFCCS_15,0.0014124293785310773
meanMFCCS_1,0.0013014166239973305
kurtMFCCS_13,0.0012303485987696856
skewMFCCS_15,0.0010928961748634016
stdMFCCS_6,0.0008708272859216411
distributionEnergy_3,0.0008071025020177584
meanRiseTime,0.0007740686985969972
skewMFCCS_2,0.0007346189164370982
skewMFCCS_3,0.0
skewMFCCS_1,0.0
peaksCount,0.0
complexity,0.0
kurtMFCCS_11,0.0
skewMFCCS_6,0.0
kurtMFCCS_17,0.0
mobility,0.0
skewMFCCS_11,0.0
skewMFCCS_12,0.0
skewMFCCS_14,0.0
kurtMFCCS_14,0.0
meanDerivative,0.0
skewMFCCS_5,0.0
energyWavelet_0,0.0
kurtMFCCS_10,0.0
energy,0.0
stdMFCCS_8,0.0
stdMFCCS_9,0.0
stdMFCCS_5,0.0
stdMFCCS_2,0.0
meanMFCCS_17,0.0
stdEda,0.0
stdMFCCS_18,0.0
meanMFCCS_13,0.0
medianMFCCS_1,0.0
meanMFCCS_10,0.0
meanMFCCS_8,0.0
medianMFCCS_5,0.0
medianMFCCS_7,0.0
meanMFCCS_5,0.0
meanMFCCS_0,0.0
medianMFCCS_16,0.0
medianMFCCS_17,0.0
medianMFCCS_18,0.0
distributionEnergy_1,0.0
kurtMFCCS_0,0.0
kurtMFCCS_1,0.0
stdMFCCS_7,0.0
kurtMFCCS_6,0.0
varSpectralPower,0.0
kurtMFCCS_8,0.0
stdMFCCS_15,0.0
