,importance
zc,0.12364138256460387
stdMFCCS_12,0.12308197430361661
HRV_MinNN,0.09966169356175732
mnf,0.06975729170107442
mav_arr_3,0.05548217044029069
std_3,0.053055271216839506
mdf,0.050281328969296823
distributionEnergy_2,0.025594006297896855
totalEnergyWavelet,0.02398294786787204
sma,0.02044828521814595
stdMFCCS_17,0.016727556936718208
entropyWavelet_2,0.016299928158824497
meanMFCCS_14,0.013748666501839504
stdMFCCS_13,0.012625048562548605
entropyWavelet_3,0.012615925335223536
TR_Mean,0.012578205060436142
energyWavelet_1,0.012053872053872072
HRV_Prc20NN,0.011939428238239763
medianMFCCS_14,0.011915271989306725
entropyWavelet_1,0.00996269347281875
QR_Mean,0.009943562065803222
PR_Mean,0.00950745346931787
medianMFCCS_18,0.009386460501536376
kurtMFCCS_14,0.009191618566618466
meanMFCCS_0,0.008701188455008505
rmse,0.008111789497299873
stdMFCCS_16,0.007717718852039361
distributionEnergy_0,0.007589050799433419
stdMFCCS_0,0.007202802405247127
meanMFCCS_7,0.006966213862765581
kurtMFCCS_7,0.006054297857576683
sumPeakAmplitude,0.005622759856630771
skewMFCCS_1,0.005464480874317008
skewMFCCS_19,0.005423280423280431
HRV_HTI,0.005292841011463685
energyWavelet_2,0.0051749017266258706
meanMFCCS_19,0.005050505050505018
kurtMFCCS_5,0.004972804972804993
meanMFCCS_17,0.004926108374384231
HRV_SDNN,0.004892676767676791
meanMFCCS_2,0.00486569960254167
mav_arr_2,0.004678362573099453
mav_arr_1,0.0044444444444444375
kurtMFCCS_4,0.004420059933015987
skewMFCCS_0,0.004328338904718567
meanMFCCS_11,0.004278074866310169
meanMFCCS_18,0.0037037037037036917
meanMFCCS_3,0.0034722222222222446
kurtMFCCS_16,0.003134796238244521
stdEda,0.0031207963411353998
meanPeakAmplitude,0.002914389799635738
medianMFCCS_0,0.00272904483430801
sumRiseTime,0.002726515435668429
fr,0.0026455026455027004
kurtMFCCS_8,0.0026455026455026623
distributionEnergy_1,0.002604166666666605
std_2,0.0024691358024691475
stdMFCCS_14,0.002351557907113478
medianMFCCS_13,0.002150537634408589
medianMFCCS_3,0.0021505376344085267
kurtMFCCS_13,0.002016129032258056
kurtMFCCS_2,0.0018365472910927456
energy,0.0016393442622951028
std_1,0.0015873015873015897
meanMFCCS_9,0.0015873015873015897
meanMFCCS_4,0.001543209876543205
kurtMFCCS_0,0.001543209876543205
meanEda,0.0014120095124850818
std_0,0.0013836042891733063
medianMFCCS_4,0.0013451708366962638
entropyWavelet_0,0.0012913640032284114
medianMFCCS_11,0.0012571839080459776
skewMFCCS_11,0.0012106537530266377
HRV_MadNN,0.001001753067868783
distributionEnergy_3,0.0008663634394628602
kurtMFCCS_11,0.0
skewMFCCS_15,0.0
medianMFCCS_16,0.0
medianMFCCS_15,0.0
skewMFCCS_9,0.0
skewMFCCS_10,0.0
skewMFCCS_12,0.0
skewMFCCS_13,0.0
skewMFCCS_14,0.0
skewMFCCS_16,0.0
skewMFCCS_8,0.0
medianMFCCS_12,0.0
skewMFCCS_17,0.0
skewMFCCS_18,0.0
medianMFCCS_10,0.0
medianMFCCS_9,0.0
mav,0.0
var,0.0
medianMFCCS_17,0.0
medianMFCCS_19,0.0
kurtMFCCS_12,0.0
kurtMFCCS_18,0.0
kurtMFCCS_10,0.0
kurtMFCCS_9,0.0
medianMFCCS_7,0.0
kurtMFCCS_15,0.0
kurtMFCCS_17,0.0
mav_arr_0,0.0
kurtMFCCS_6,0.0
kurtMFCCS_19,0.0
skewMFCCS_7,0.0
skewMFCCS_2,0.0
skewMFCCS_3,0.0
skewMFCCS_4,0.0
skewMFCCS_5,0.0
kurtMFCCS_3,0.0
skewMFCCS_6,0.0
kurtMFCCS_1,0.0
medianMFCCS_8,0.0
HR_Mean,0.0
medianMFCCS_6,0.0
HF_Rel,0.0
HRV_TINN,0.0
VLF_Peak,0.0
VLF_Rel,0.0
LF_Peak,0.0
LF_Rel,0.0
HF_Peak,0.0
LF_Norm,0.0
activity,0.0
HF_Norm,0.0
fft_ratio,0.0
fft_total,0.0
kurtEda,0.0
skewEda,0.0
meanDerivative,0.0
HRV_MaxNN,0.0
HRV_pNN20,0.0
HRV_pNN50,0.0
HRV_Prc80NN,0.0
HRV_IQRNN,0.0
HRV_MCVNN,0.0
HRV_MedianNN,0.0
HRV_CVSD,0.0
HRV_CVNN,0.0
HRV_SDSD,0.0
HRV_RMSSD,0.0
HRV_MeanNN,0.0
TT_Mean,0.0
SS_Mean,0.0
QQ_Mean,0.0
PP_Mean,0.0
RS_Mean,0.0
meanNegativeDerivative,0.0
mobility,0.0
medianMFCCS_5,0.0
stdMFCCS_9,0.0
stdMFCCS_3,0.0
QRS_Mean,0.0
stdMFCCS_5,0.0
stdMFCCS_6,0.0
stdMFCCS_7,0.0
stdMFCCS_8,0.0
stdMFCCS_10,0.0
complexity,0.0
stdMFCCS_11,0.0
stdMFCCS_15,0.0
stdMFCCS_18,0.0
stdMFCCS_19,0.0
medianMFCCS_1,0.0
medianMFCCS_2,0.0
stdMFCCS_2,0.0
stdMFCCS_1,0.0
meanMFCCS_16,0.0
meanMFCCS_15,0.0
meanMFCCS_13,0.0
meanMFCCS_12,0.0
meanMFCCS_10,0.0
meanMFCCS_8,0.0
meanMFCCS_6,0.0
meanMFCCS_5,0.0
meanMFCCS_1,0.0
energyWavelet_3,0.0
energyWavelet_0,0.0
varSpectralPower,0.0
energy,0.0
meanRiseTime,0.0
peaksCount,0.0
stdMFCCS_4,0.0
