,importance
medianMFCCS_2,0.0
meanMFCCS_8,0.0
stdMFCCS_4,0.0
HF_Peak,0.0
LF_Peak,0.0
VLF_Peak,0.0
std_0,9.504570141740476e-05
var,0.00010068762278978572
mav_arr_0,0.00011057173678532148
LF_Rel,0.00016074992871398887
kurtMFCCS_2,0.00021431582497259542
meanMFCCS_5,0.00024764405824872506
rmse,0.0002566535515622274
LF_Norm,0.00026967293029379294
VLF_Rel,0.00027933913100546513
sma,0.0003433356594556624
skewMFCCS_11,0.0003440725596111207
mobility,0.00039604509542197255
HF_Rel,0.0003970567962503395
meanMFCCS_10,0.0004317371661302594
medianMFCCS_11,0.0005657919266540131
medianMFCCS_0,0.0005920668142343631
energy,0.0006184578218761615
skewMFCCS_18,0.0006217458423867992
std_1,0.0006523381581283896
zc,0.0006628721718844538
meanMFCCS_14,0.0006703719070531865
HR_Mean,0.0006971419895511999
kurtMFCCS_0,0.0007663015934836353
stdMFCCS_0,0.0008477132244324888
stdMFCCS_5,0.0008882568395735069
meanMFCCS_0,0.0008901154803276167
medianMFCCS_17,0.0009257625123960814
medianMFCCS_14,0.0009431065009385084
kurtMFCCS_8,0.000992659173990198
medianMFCCS_16,0.0010846646535268892
HF_Norm,0.0012152867123503856
energy,0.001231016749525821
PP_Mean,0.0014329305190586225
medianMFCCS_8,0.001453584268987102
mav,0.0015279340881115284
meanMFCCS_11,0.0015361572451317983
mav_arr_2,0.0015604602919167849
RS_Mean,0.0015754316250263752
meanMFCCS_9,0.001589543390507666
fr,0.001625620612029247
meanMFCCS_2,0.0016977131520152023
kurtMFCCS_11,0.001703616129432921
mav_arr_1,0.001779475762293492
stdMFCCS_1,0.0017945885629814637
stdMFCCS_2,0.0018399275923809966
std_3,0.0018828301032438
medianMFCCS_13,0.001888300617321247
kurtMFCCS_13,0.0019474230896809165
kurtMFCCS_9,0.0019711280355656853
mnf,0.001985815611458828
mav_arr_3,0.0020066722376782383
meanMFCCS_16,0.0020732372787037974
stdMFCCS_13,0.0021043172071098385
stdMFCCS_18,0.0021096983092483285
mdf,0.002110447816878515
std_2,0.0021625418862632954
medianMFCCS_19,0.002337099085602534
skewMFCCS_17,0.002337438514378577
kurtMFCCS_7,0.0023387762727583943
kurtMFCCS_16,0.0024569680458424357
medianMFCCS_15,0.0024897689869743545
stdMFCCS_19,0.0025062406042857897
meanMFCCS_18,0.0025909423129084224
skewMFCCS_7,0.002628770681876522
HRV_Prc80NN,0.0026453587658599466
skewMFCCS_6,0.0027108538177921075
