,importance
zc,0.19693724653696626
medianMFCCS_16,0.1405990322619265
meanMFCCS_18,0.04580432541827558
entropyWavelet_3,0.029444858992063824
meanMFCCS_14,0.029438264525064053
std_3,0.02650810442818996
medianMFCCS_7,0.024864444211128177
energyWavelet_0,0.02459121496771152
entropyWavelet_0,0.022138033177101956
stdMFCCS_19,0.01972595553594335
meanPeakAmplitude,0.01939199835262372
skewMFCCS_9,0.018164186137934666
medianMFCCS_14,0.017170133728648066
sumPeakAmplitude,0.01515697631454458
HRV_MCVNN,0.013869385152220842
meanMFCCS_7,0.012934313962639327
kurtEda,0.012338794071766697
medianMFCCS_0,0.011560351578060866
medianMFCCS_2,0.011041050015102728
stdMFCCS_15,0.010616519155020336
meanMFCCS_12,0.008891093066733037
sma,0.008780418664143958
energyWavelet_3,0.008453996680599114
skewMFCCS_2,0.008432567399834173
entropyWavelet_1,0.008084935398821684
medianMFCCS_8,0.007759013576486368
energy,0.006739795642656764
skewMFCCS_19,0.005964000916118229
kurtMFCCS_13,0.0059330530930838035
meanDerivative,0.005846497603787123
skewMFCCS_12,0.005608620994114171
complexity,0.005554560182392271
mdf,0.005436427829492775
medianMFCCS_6,0.005368571413092657
energyWavelet_2,0.005343965515462353
energyWavelet_1,0.004931232530455767
std_1,0.004780154184166212
meanMFCCS_2,0.004686146342510904
skewMFCCS_8,0.004488208047698656
kurtMFCCS_17,0.004455304323566926
stdEda,0.004044683389878992
stdMFCCS_1,0.0040176343438194685
kurtMFCCS_12,0.004016049093483679
QRS_Mean,0.00391028015408335
medianMFCCS_12,0.003907543227427921
HRV_TINN,0.0038686073873171346
stdMFCCS_6,0.003789531916530416
distributionEnergy_1,0.0037135472416653954
mav,0.0036954633533624404
kurtMFCCS_14,0.003669946683188937
energy,0.003625930854875055
meanRiseTime,0.0034986760620508116
stdMFCCS_7,0.003283197694222433
activity,0.0032769165344094437
stdMFCCS_17,0.003142065209583489
kurtMFCCS_4,0.0030431745791171406
kurtMFCCS_16,0.003013051074065856
stdMFCCS_11,0.0030038257763918895
skewMFCCS_1,0.002968132388283438
meanMFCCS_16,0.0028623586033012125
meanMFCCS_13,0.0028021560002457445
meanEda,0.0027650545350755857
HRV_pNN20,0.0027443175522348672
stdMFCCS_16,0.00271070493728346
std_2,0.0027060183892656823
stdMFCCS_10,0.0026467333762327373
kurtMFCCS_10,0.0025918773491688724
std_0,0.0025702570143735703
medianMFCCS_13,0.002222383145606977
mav_arr_1,0.002159024294415371
distributionEnergy_3,0.002117256362418373
kurtMFCCS_7,0.0020955803611281036
meanNegativeDerivative,0.001969975290350562
mnf,0.001942875470190404
skewMFCCS_18,0.001907435375530871
medianMFCCS_19,0.0018445225069103472
medianMFCCS_18,0.0018157824540383912
skewMFCCS_15,0.0018156783197132665
kurtMFCCS_2,0.0018132076341211623
stdMFCCS_5,0.0018072046229875654
meanMFCCS_0,0.001796612732050994
HRV_HTI,0.0016135827422201709
medianMFCCS_11,0.0016014327811085904
HF_Norm,0.0015656553360505956
kurtMFCCS_18,0.0015346618993932342
kurtMFCCS_5,0.0015295474278018747
skewEda,0.0015195478717131916
skewMFCCS_6,0.001410781472687485
stdMFCCS_9,0.0014052628589618275
stdMFCCS_3,0.0014034473220536506
kurtMFCCS_15,0.0013954875322849467
varSpectralPower,0.001368571040848156
meanMFCCS_11,0.0013569548181860225
skewMFCCS_4,0.001299775017731566
VLF_Rel,0.0012954356356453015
distributionEnergy_0,0.001279920883121419
meanMFCCS_8,0.00127393500305261
HRV_MinNN,0.0012002472544806475
meanMFCCS_15,0.0011228052598099537
medianMFCCS_5,0.000998847894151267
distributionEnergy_2,0.0009586272772702164
stdMFCCS_13,0.0009428731114685383
kurtMFCCS_0,0.0009364226877479789
peaksCount,0.000903393484458308
fft_total,0.0009022289140438389
stdMFCCS_18,0.0008789512656717127
stdMFCCS_12,0.0008626175456120113
skewMFCCS_11,0.0008556506753943371
kurtMFCCS_1,0.0008292451007006345
