,Importance
TR_Mean,0.19837107
QR_Mean,0.15539905
QRS_Mean,0.054092817
HRV_Prc20NN,0.04889675
PR_Mean,0.041060843
HRV_MinNN,0.04010341
PP_Mean,0.038439892
HRV_MedianNN,0.037886575
HRV_SDSD,0.03602961
HRV_pNN20,0.02953691
HRV_Prc80NN,0.026245471
HRV_IQRNN,0.025626933
HRV_CVSD,0.025433155
HRV_RMSSD,0.02370186
HRV_CVNN,0.021564115
HRV_MCVNN,0.021280494
HRV_SDNN,0.020504206
HRV_HTI,0.02044669
TT_Mean,0.019231116
VLF_Rel,0.019229747
HRV_MaxNN,0.018032301
HRV_TINN,0.017550439
fft_total,0.015864572
HRV_MadNN,0.012649652
HR_Mean,0.011460242
HRV_pNN50,0.01132207
QQ_Mean,0.00903203
HRV_MeanNN,0.00079785154
SS_Mean,0.0002101869
VLF_Peak,0.0
RS_Mean,0.0
LF_Peak,0.0
LF_Rel,0.0
HF_Peak,0.0
HF_Rel,0.0
LF_Norm,0.0
HF_Norm,0.0
fft_ratio,0.0
