,Stress
141,6.0
2,15.0
46,21.0
822,6.0
134,13.0
339,7.0
584,6.0
607,6.0
964,10.0
820,6.0
295,6.0
271,6.0
184,7.0
862,9.0
244,6.0
495,8.0
552,7.0
467,8.0
215,9.0
892,9.0
631,7.0
438,6.0
345,7.0
679,8.0
452,6.0
421,6.0
250,6.0
413,7.0
478,6.0
275,6.0
72,7.0
599,6.0
381,9.0
64,6.0
3,11.0
535,7.0
122,8.0
570,9.0
408,7.0
914,8.0
848,10.0
865,10.0
217,9.0
519,8.0
71,7.0
182,11.0
429,6.0
170,7.0
292,7.0
518,8.0
543,8.0
300,7.0
828,6.0
871,10.0
793,6.0
788,7.0
880,8.0
23,12.0
123,8.0
598,6.0
910,12.0
422,6.0
371,7.0
937,10.0
611,7.0
943,10.0
968,10.0
642,8.0
175,7.0
18,12.0
194,9.0
619,7.0
836,9.0
334,6.0
377,10.0
559,10.0
142,7.0
355,7.0
973,8.0
736,7.0
431,6.0
198,6.0
15,16.0
265,6.0
632,8.0
800,9.0
44,21.0
532,6.0
837,9.0
593,6.0
824,8.0
561,9.0
836,10.0
465,6.0
588,6.0
199,6.0
777,6.0
658,11.0
181,16.0
408,12.0
678,6.0
108,13.0
862,10.0
478,8.0
726,10.0
268,7.0
909,12.0
603,9.0
676,10.0
604,9.0
57,6.0
738,10.0
310,7.0
56,18.0
618,7.0
15,12.0
262,7.0
303,8.0
633,8.0
43,16.0
100,19.0
274,6.0
367,6.0
353,6.0
101,19.0
875,8.0
677,6.0
228,10.0
107,19.0
637,6.0
497,8.0
928,10.0
817,10.0
854,10.0
572,8.0
370,6.0
688,13.0
300,8.0
400,6.0
72,19.0
700,6.0
333,6.0
464,7.0
583,6.0
481,6.0
750,8.0
506,8.0
519,7.0
150,12.0
937,10.0
582,11.0
106,6.0
311,7.0
925,12.0
405,9.0
718,10.0
119,14.0
309,7.0
226,6.0
740,10.0
734,11.0
870,10.0
767,6.0
290,6.0
148,6.0
728,10.0
729,10.0
771,8.0
759,10.0
261,7.0
557,9.0
782,9.0
131,14.0
884,11.0
137,13.0
459,7.0
286,7.0
569,9.0
520,7.0
743,9.0
909,8.0
553,10.0
2,11.0
204,10.0
861,9.0
543,8.0
881,8.0
7,11.0
26,12.0
610,10.0
741,9.0
541,7.0
931,9.0
493,9.0
287,6.0
277,6.0
801,7.0
358,9.0
412,12.0
236,6.0
551,7.0
821,6.0
910,8.0
208,6.0
353,9.0
890,10.0
58,18.0
549,8.0
813,6.0
542,7.0
363,9.0
111,13.0
374,6.0
251,9.0
568,9.0
302,8.0
781,9.0
906,11.0
811,11.0
118,10.0
712,8.0
712,6.0
522,8.0
513,7.0
81,23.0
141,7.0
939,10.0
380,9.0
669,7.0
84,19.0
640,8.0
329,6.0
6,15.0
692,7.0
704,6.0
921,6.0
809,9.0
451,6.0
490,9.0
760,12.0
287,7.0
843,8.0
933,10.0
335,7.0
563,10.0
223,10.0
744,9.0
663,9.0
766,8.0
662,9.0
127,14.0
67,7.0
745,8.0
327,7.0
221,10.0
720,7.0
60,6.0
855,11.0
813,10.0
177,11.0
777,8.0
654,6.0
86,19.0
375,6.0
850,10.0
457,6.0
783,6.0
54,18.0
869,10.0
643,6.0
221,6.0
113,6.0
905,11.0
202,10.0
922,6.0
174,7.0
727,7.0
589,6.0
524,9.0
18,16.0
423,6.0
310,6.0
285,7.0
548,8.0
428,9.0
946,10.0
276,6.0
669,6.0
31,15.0
269,7.0
917,8.0
214,6.0
756,8.0
326,7.0
560,9.0
554,10.0
416,12.0
661,9.0
341,7.0
629,6.0
147,6.0
264,7.0
360,9.0
83,19.0
48,18.0
468,7.0
155,6.0
58,6.0
904,8.0
788,6.0
369,6.0
177,8.0
772,9.0
500,8.0
179,11.0
613,10.0
948,9.0
730,7.0
812,9.0
584,11.0
528,10.0
346,8.0
914,7.0
908,8.0
772,8.0
920,12.0
932,9.0
601,6.0
17,12.0
243,6.0
350,9.0
651,8.0
442,6.0
312,7.0
435,6.0
849,10.0
711,8.0
308,7.0
430,9.0
660,6.0
370,7.0
566,10.0
500,6.0
181,11.0
802,10.0
621,7.0
458,6.0
440,6.0
564,9.0
795,9.0
54,15.0
296,7.0
834,10.0
461,6.0
278,6.0
605,9.0
377,9.0
80,21.0
105,19.0
126,6.0
107,13.0
485,8.0
355,9.0
581,11.0
682,8.0
755,8.0
807,9.0
209,6.0
819,10.0
140,6.0
404,6.0
306,6.0
246,12.0
814,6.0
583,11.0
174,8.0
711,6.0
351,9.0
593,10.0
839,9.0
10,14.0
656,11.0
100,6.0
282,9.0
291,7.0
754,8.0
626,6.0
643,8.0
849,11.0
129,6.0
151,12.0
323,7.0
69,7.0
218,9.0
887,9.0
818,6.0
393,6.0
808,9.0
695,7.0
215,6.0
5,11.0
158,6.0
573,10.0
634,7.0
516,7.0
395,6.0
597,6.0
195,6.0
895,10.0
35,14.0
410,7.0
96,17.0
923,6.0
874,11.0
156,6.0
419,6.0
22,12.0
477,8.0
963,10.0
668,6.0
30,14.0
182,16.0
690,13.0
447,6.0
978,9.0
178,11.0
390,7.0
578,8.0
799,9.0
668,7.0
336,7.0
608,9.0
832,10.0
409,12.0
907,12.0
16,12.0
664,6.0
142,6.0
483,6.0
396,6.0
421,6.0
636,7.0
373,6.0
799,10.0
47,21.0
615,7.0
294,7.0
859,10.0
853,10.0
88,19.0
41,16.0
758,12.0
882,10.0
131,6.0
195,9.0
279,6.0
50,15.0
808,11.0
465,8.0
164,8.0
724,7.0
290,7.0
155,11.0
770,9.0
847,6.0
940,10.0
778,9.0
839,10.0
348,6.0
893,10.0
571,10.0
797,9.0
838,9.0
435,6.0
557,10.0
894,10.0
946,9.0
458,6.0
375,9.0
333,6.0
135,13.0
717,10.0
424,6.0
816,10.0
91,14.0
926,6.0
810,11.0
944,9.0
878,8.0
102,6.0
328,6.0
976,9.0
318,7.0
720,10.0
578,10.0
692,13.0
167,8.0
12,14.0
171,7.0
649,6.0
260,6.0
649,8.0
376,10.0
672,6.0
