,Stress
536,6.0
333,6.0
888,9.0
528,10.0
328,6.0
977,9.0
906,11.0
567,10.0
33,15.0
31,15.0
735,7.0
192,6.0
760,10.0
494,8.0
901,11.0
961,11.0
591,6.0
292,7.0
109,19.0
286,7.0
77,23.0
259,6.0
762,10.0
82,23.0
741,9.0
365,9.0
777,8.0
381,9.0
788,7.0
439,7.0
2,15.0
101,19.0
370,7.0
823,8.0
685,8.0
208,6.0
886,9.0
5,15.0
54,18.0
306,6.0
980,9.0
890,9.0
531,6.0
97,19.0
596,6.0
204,6.0
265,6.0
755,8.0
943,9.0
526,10.0
620,7.0
853,11.0
25,17.0
84,19.0
10,14.0
749,6.0
363,9.0
588,6.0
631,7.0
590,6.0
118,10.0
551,7.0
250,6.0
603,6.0
798,10.0
196,6.0
595,6.0
81,23.0
359,9.0
456,6.0
936,10.0
239,6.0
436,6.0
211,6.0
707,6.0
342,8.0
430,9.0
227,6.0
841,10.0
323,7.0
784,9.0
481,6.0
754,8.0
544,6.0
449,6.0
802,10.0
351,6.0
7,14.0
155,6.0
533,6.0
878,11.0
462,6.0
479,8.0
817,10.0
558,9.0
318,7.0
568,10.0
918,8.0
926,6.0
522,8.0
786,7.0
500,8.0
429,9.0
527,10.0
228,6.0
958,11.0
718,7.0
212,6.0
79,23.0
148,6.0
302,6.0
310,7.0
486,6.0
857,10.0
465,6.0
321,7.0
133,6.0
542,8.0
311,7.0
598,6.0
422,6.0
0,15.0
316,7.0
696,7.0
539,8.0
327,7.0
576,8.0
457,6.0
355,9.0
172,7.0
125,6.0
377,9.0
891,9.0
887,9.0
90,17.0
923,6.0
181,11.0
274,6.0
879,8.0
69,19.0
291,7.0
131,6.0
300,7.0
405,9.0
326,7.0
144,6.0
404,9.0
572,8.0
135,6.0
898,7.0
164,8.0
28,17.0
554,7.0
193,6.0
371,7.0
628,6.0
169,7.0
468,7.0
140,6.0
173,7.0
6,15.0
960,11.0
969,8.0
73,19.0
673,6.0
667,6.0
238,6.0
145,6.0
780,9.0
234,6.0
220,6.0
869,10.0
622,7.0
132,6.0
973,8.0
796,10.0
185,7.0
41,16.0
601,6.0
108,19.0
580,6.0
56,18.0
900,7.0
423,6.0
938,10.0
845,8.0
24,17.0
908,12.0
523,10.0
712,6.0
684,8.0
910,12.0
338,7.0
51,18.0
535,6.0
644,6.0
904,11.0
682,8.0
264,6.0
529,10.0
672,6.0
482,6.0
506,8.0
428,9.0
18,16.0
705,6.0
703,6.0
945,9.0
688,7.0
367,7.0
83,19.0
61,19.0
847,8.0
272,6.0
285,7.0
360,9.0
354,9.0
629,6.0
278,9.0
12,14.0
182,11.0
368,7.0
653,6.0
606,6.0
223,6.0
914,8.0
689,7.0
483,6.0
851,11.0
808,9.0
920,6.0
176,7.0
656,6.0
618,7.0
789,7.0
538,8.0
927,9.0
163,8.0
248,6.0
625,6.0
870,10.0
660,6.0
375,9.0
412,7.0
74,19.0
113,6.0
902,11.0
552,7.0
390,7.0
104,19.0
114,6.0
417,7.0
453,6.0
409,7.0
92,17.0
787,7.0
89,19.0
336,7.0
971,8.0
905,11.0
917,8.0
597,6.0
585,6.0
602,6.0
94,17.0
11,14.0
396,6.0
525,10.0
43,16.0
42,16.0
329,6.0
167,8.0
477,8.0
861,10.0
589,6.0
767,6.0
100,19.0
426,9.0
178,11.0
444,6.0
416,7.0
638,6.0
867,10.0
649,6.0
177,11.0
395,6.0
666,6.0
781,9.0
944,9.0
848,8.0
383,8.0
940,10.0
257,6.0
530,6.0
335,7.0
605,6.0
15,16.0
3,15.0
866,10.0
507,8.0
256,6.0
578,8.0
746,6.0
697,7.0
736,7.0
393,7.0
222,6.0
179,11.0
289,7.0
966,10.0
324,7.0
582,6.0
9,14.0
249,6.0
22,16.0
356,9.0
657,6.0
846,8.0
340,7.0
431,6.0
543,8.0
819,10.0
203,6.0
621,7.0
93,17.0
693,7.0
68,19.0
613,7.0
284,7.0
790,7.0
434,6.0
153,6.0
75,19.0
720,7.0
446,6.0
188,7.0
271,6.0
236,6.0
487,9.0
117,10.0
830,10.0
512,7.0
545,6.0
583,6.0
126,6.0
116,6.0
473,8.0
876,11.0
57,18.0
664,6.0
896,7.0
369,7.0
268,6.0
46,18.0
349,6.0
195,6.0
982,9.0
820,10.0
827,8.0
263,6.0
443,6.0
665,6.0
304,6.0
341,7.0
950,8.0
149,6.0
124,6.0
774,8.0
50,18.0
353,6.0
911,12.0
142,6.0
470,7.0
399,6.0
616,7.0
320,7.0
19,16.0
795,10.0
778,9.0
884,8.0
407,7.0
537,8.0
611,7.0
38,16.0
175,7.0
245,6.0
814,10.0
670,6.0
807,9.0
843,8.0
154,6.0
287,7.0
594,6.0
569,10.0
731,7.0
17,16.0
127,6.0
322,7.0
255,6.0
761,10.0
948,9.0
190,6.0
115,6.0
752,8.0
180,11.0
301,6.0
947,9.0
892,9.0
713,7.0
675,6.0
652,6.0
517,8.0
967,10.0
45,16.0
893,7.0
157,6.0
732,7.0
171,7.0
16,16.0
511,7.0
48,18.0
954,8.0
826,8.0
515,7.0
759,10.0
480,6.0
283,9.0
708,6.0
785,7.0
225,6.0
26,17.0
770,6.0
437,7.0
935,10.0
364,9.0
229,6.0
37,15.0
949,8.0
374,9.0
469,7.0
951,8.0
836,10.0
694,7.0
715,7.0
194,6.0
839,10.0
849,11.0
503,8.0
953,8.0
816,10.0
579,6.0
952,8.0
162,8.0
692,7.0
152,6.0
723,7.0
809,9.0
743,9.0
111,6.0
226,6.0
678,6.0
103,19.0
421,6.0
419,6.0
825,8.0
586,6.0
894,7.0
119,10.0
53,18.0
151,6.0
403,9.0
929,9.0
207,6.0
658,6.0
829,10.0
750,6.0
8,14.0
793,10.0
36,15.0
452,6.0
651,6.0
253,6.0
303,6.0
734,7.0
571,10.0
623,6.0
939,10.0
722,7.0
262,6.0
610,7.0
297,7.0
414,7.0
150,6.0
916,8.0
640,6.0
873,11.0
550,6.0
837,10.0
488,9.0
147,6.0
146,6.0
710,6.0
915,8.0
728,7.0
659,6.0
348,6.0
463,6.0
325,7.0
186,7.0
123,6.0
859,10.0
608,7.0
143,6.0
942,9.0
197,6.0
609,7.0
279,9.0
293,7.0
400,6.0
122,10.0
183,7.0
202,6.0
438,7.0
246,6.0
415,7.0
764,10.0
753,8.0
756,8.0
872,11.0
129,6.0
637,6.0
402,9.0
844,8.0
758,10.0
913,8.0
219,6.0
641,6.0
899,7.0
740,9.0
792,10.0
903,11.0
624,6.0
824,8.0
799,10.0
386,8.0
955,8.0
509,7.0
267,6.0
956,11.0
441,7.0
496,8.0
112,6.0
691,7.0
232,6.0
854,11.0
607,6.0
671,6.0
373,7.0
964,10.0
828,8.0
233,6.0
773,8.0
676,6.0
317,7.0
648,6.0
410,7.0
882,8.0
709,6.0
358,9.0
258,6.0
744,9.0
627,6.0
632,7.0
282,9.0
376,9.0
384,8.0
224,6.0
937,10.0
800,10.0
472,7.0
347,8.0
505,8.0
639,6.0
970,8.0
912,12.0
889,9.0
619,7.0
924,6.0
645,6.0
832,10.0
556,7.0
941,9.0
577,8.0
85,19.0
242,6.0
698,7.0
159,6.0
524,10.0
35,15.0
540,8.0
170,7.0
654,6.0
874,11.0
842,8.0
833,10.0
928,9.0
733,7.0
95,17.0
563,9.0
240,6.0
742,9.0
574,8.0
690,7.0
460,6.0
553,7.0
863,10.0
206,6.0
392,7.0
794,10.0
397,6.0
766,6.0
834,10.0
217,6.0
4,15.0
768,6.0
642,6.0
881,8.0
612,7.0
738,9.0
546,6.0
725,7.0
683,8.0
98,19.0
804,10.0
727,7.0
573,8.0
406,9.0
502,8.0
47,18.0
32,15.0
779,9.0
200,6.0
134,6.0
27,17.0
865,10.0
230,6.0
489,9.0
772,8.0
378,9.0
288,7.0
418,7.0
674,6.0
391,7.0
592,6.0
498,8.0
138,6.0
62,19.0
471,7.0
647,6.0
128,6.0
959,11.0
520,8.0
838,10.0
946,9.0
64,19.0
812,9.0
14,16.0
156,6.0
40,16.0
492,9.0
379,9.0
187,7.0
763,10.0
216,6.0
791,7.0
52,18.0
337,7.0
748,6.0
719,7.0
724,7.0
295,7.0
701,6.0
251,6.0
726,7.0
461,6.0
455,6.0
979,9.0
815,10.0
862,10.0
269,6.0
201,6.0
161,8.0
555,7.0
729,7.0
401,9.0
702,6.0
476,8.0
821,8.0
771,8.0
105,19.0
565,10.0
389,7.0
1,15.0
921,6.0
965,10.0
561,9.0
80,23.0
205,6.0
34,15.0
775,8.0
508,7.0
427,9.0
454,6.0
366,9.0
91,17.0
339,7.0
897,7.0
564,10.0
345,8.0
776,8.0
241,6.0
13,14.0
315,7.0
600,6.0
387,8.0
273,6.0
166,8.0
840,10.0
975,8.0
646,6.0
818,10.0
484,6.0
963,10.0
504,8.0
831,10.0
243,6.0
566,10.0
875,11.0
562,9.0
686,7.0
189,6.0
782,9.0
699,6.0
475,8.0
681,8.0
510,7.0
58,18.0
474,8.0
560,9.0
856,10.0
747,6.0
252,6.0
21,16.0
313,7.0
459,6.0
160,6.0
276,6.0
191,6.0
385,8.0
805,10.0
413,7.0
491,9.0
343,8.0
769,6.0
308,7.0
661,6.0
130,6.0
663,6.0
871,11.0
99,19.0
372,7.0
87,19.0
458,6.0
330,6.0
214,6.0
466,6.0
121,10.0
614,7.0
20,16.0
700,6.0
71,19.0
106,19.0
270,6.0
860,10.0
435,6.0
102,19.0
810,9.0
801,10.0
813,10.0
497,8.0
67,19.0
745,6.0
677,6.0
362,9.0
493,9.0
448,6.0
548,6.0
495,8.0
864,10.0
235,6.0
298,7.0
266,6.0
107,19.0
411,7.0
66,19.0
260,6.0
314,7.0
184,7.0
687,7.0
88,19.0
599,6.0
895,7.0
198,6.0
541,8.0
312,7.0
922,6.0
174,7.0
424,6.0
361,9.0
23,16.0
30,17.0
581,6.0
307,6.0
957,11.0
210,6.0
570,10.0
855,11.0
557,9.0
332,6.0
478,8.0
822,8.0
932,9.0
858,10.0
59,18.0
974,8.0
247,6.0
420,6.0
275,6.0
635,7.0
467,7.0
70,19.0
120,10.0
39,16.0
962,10.0
408,7.0
280,9.0
880,8.0
76,23.0
930,9.0
96,17.0
344,8.0
261,6.0
237,6.0
636,7.0
679,8.0
139,6.0
919,8.0
739,9.0
209,6.0
221,6.0
158,6.0
704,6.0
63,19.0
885,8.0
721,7.0
850,11.0
626,6.0
231,6.0
357,9.0
852,11.0
907,12.0
215,6.0
717,7.0
680,8.0
968,10.0
783,9.0
86,19.0
277,6.0
662,6.0
294,7.0
669,6.0
868,10.0
442,7.0
168,7.0
797,10.0
513,7.0
309,7.0
593,6.0
485,6.0
630,7.0
254,6.0
668,6.0
835,10.0
981,9.0
978,9.0
521,8.0
55,18.0
534,6.0
490,9.0
976,9.0
501,8.0
72,19.0
244,6.0
44,16.0
706,6.0
518,8.0
617,7.0
587,6.0
934,10.0
281,9.0
350,6.0
549,6.0
352,6.0
450,6.0
909,12.0
634,7.0
136,6.0
883,8.0
290,7.0
925,6.0
933,9.0
394,7.0
60,18.0
451,6.0
425,9.0
643,6.0
714,7.0
584,6.0
199,6.0
464,6.0
575,8.0
711,6.0
519,8.0
305,6.0
110,19.0
447,6.0
972,8.0
751,8.0
730,7.0
388,8.0
433,6.0
931,9.0
516,7.0
615,7.0
440,7.0
532,6.0
137,6.0
346,8.0
604,6.0
319,7.0
737,7.0
213,6.0
547,6.0
432,6.0
559,9.0
299,7.0
445,6.0
331,6.0
78,23.0
29,17.0
398,6.0
806,9.0
803,10.0
633,7.0
165,8.0
811,9.0
695,7.0
499,8.0
65,19.0
141,6.0
218,6.0
380,9.0
296,7.0
655,6.0
757,8.0
382,8.0
765,6.0
650,6.0
877,11.0
514,7.0
49,18.0
716,7.0
334,6.0
