,Stress
109,13.0
77,21.0
549,8.0
798,9.0
82,21.0
321,9.0
355,7.0
844,6.0
529,9.0
2,11.0
101,6.0
344,7.0
425,6.0
516,11.0
5,11.0
54,15.0
898,10.0
826,6.0
357,7.0
411,12.0
97,8.0
923,12.0
451,6.0
346,7.0
603,9.0
908,8.0
494,7.0
318,8.0
823,6.0
25,12.0
84,21.0
10,11.0
526,9.0
380,10.0
580,11.0
514,11.0
613,10.0
118,14.0
323,9.0
350,9.0
29,12.0
55,15.0
712,8.0
456,6.0
626,11.0
755,12.0
196,9.0
412,12.0
81,21.0
688,13.0
420,6.0
587,10.0
653,11.0
832,6.0
239,10.0
629,11.0
204,10.0
211,9.0
244,12.0
758,12.0
760,12.0
319,8.0
845,6.0
468,8.0
568,9.0
398,6.0
227,10.0
811,11.0
424,6.0
756,12.0
444,6.0
749,8.0
667,7.0
922,12.0
281,6.0
678,10.0
7,11.0
155,11.0
865,10.0
693,13.0
544,8.0
739,10.0
536,7.0
927,10.0
596,10.0
883,10.0
611,10.0
669,7.0
551,10.0
903,10.0
621,9.0
858,9.0
228,10.0
408,12.0
692,13.0
212,9.0
79,21.0
148,12.0
290,6.0
448,6.0
759,12.0
429,6.0
299,8.0
133,13.0
828,6.0
575,10.0
735,11.0
0,11.0
670,7.0
585,11.0
305,6.0
490,8.0
634,8.0
479,6.0
172,8.0
125,8.0
351,9.0
370,6.0
854,10.0
90,14.0
888,11.0
181,16.0
274,6.0
847,6.0
69,7.0
291,6.0
131,14.0
300,8.0
801,7.0
144,7.0
135,13.0
164,15.0
28,12.0
532,7.0
193,9.0
522,7.0
604,9.0
169,15.0
432,6.0
140,7.0
173,8.0
6,11.0
682,10.0
422,6.0
73,7.0
825,6.0
876,8.0
238,10.0
145,7.0
752,8.0
234,9.0
220,10.0
635,8.0
535,7.0
132,14.0
938,10.0
362,6.0
185,9.0
41,21.0
578,10.0
108,13.0
477,7.0
56,15.0
359,7.0
618,9.0
533,7.0
24,12.0
485,8.0
879,8.0
497,6.0
338,7.0
51,15.0
677,10.0
870,10.0
885,11.0
264,7.0
499,6.0
891,10.0
937,10.0
874,8.0
18,12.0
679,10.0
538,7.0
382,7.0
367,6.0
83,21.0
61,6.0
714,8.0
272,6.0
285,6.0
360,7.0
354,9.0
404,6.0
278,6.0
12,12.0
182,16.0
368,6.0
436,6.0
583,11.0
223,10.0
542,7.0
728,10.0
783,6.0
934,10.0
552,10.0
761,12.0
176,8.0
631,8.0
506,7.0
628,11.0
462,7.0
163,11.0
248,12.0
601,10.0
838,9.0
375,6.0
74,7.0
113,13.0
539,7.0
530,9.0
390,6.0
104,6.0
114,14.0
417,6.0
409,12.0
92,14.0
534,7.0
89,14.0
336,7.0
936,10.0
930,10.0
882,10.0
780,6.0
718,10.0
622,9.0
94,8.0
11,11.0
396,6.0
834,6.0
43,21.0
42,21.0
329,6.0
167,15.0
440,6.0
829,6.0
567,9.0
717,10.0
100,6.0
426,6.0
178,16.0
416,12.0
939,10.0
835,6.0
636,8.0
177,8.0
395,6.0
706,10.0
753,8.0
734,11.0
383,7.0
257,9.0
501,6.0
335,7.0
582,11.0
15,12.0
3,11.0
467,8.0
256,9.0
597,10.0
843,6.0
696,7.0
547,8.0
393,6.0
222,10.0
179,16.0
289,6.0
557,10.0
324,9.0
910,8.0
9,11.0
249,12.0
22,12.0
356,7.0
221,10.0
741,10.0
816,6.0
931,10.0
558,10.0
340,7.0
431,6.0
521,7.0
790,6.0
548,8.0
203,10.0
598,10.0
445,6.0
237,10.0
93,8.0
528,9.0
895,10.0
590,10.0
794,9.0
284,6.0
184,16.0
762,8.0
774,6.0
434,6.0
658,11.0
153,12.0
75,7.0
450,6.0
694,13.0
581,11.0
277,6.0
68,7.0
446,6.0
595,10.0
486,8.0
188,9.0
271,6.0
859,9.0
941,10.0
236,9.0
487,8.0
117,14.0
881,10.0
512,11.0
523,7.0
868,10.0
126,8.0
116,14.0
473,7.0
657,11.0
57,6.0
668,7.0
863,10.0
369,6.0
268,7.0
46,21.0
349,9.0
195,9.0
947,10.0
839,9.0
737,10.0
263,7.0
443,6.0
665,9.0
304,8.0
341,7.0
915,7.0
149,12.0
124,8.0
746,8.0
50,15.0
353,9.0
877,8.0
142,7.0
470,8.0
399,6.0
593,10.0
320,9.0
19,12.0
767,8.0
750,8.0
788,6.0
407,6.0
537,7.0
588,10.0
38,14.0
175,8.0
245,12.0
786,6.0
633,8.0
715,8.0
813,6.0
154,11.0
287,6.0
655,11.0
704,10.0
17,12.0
127,14.0
322,9.0
255,9.0
656,11.0
913,7.0
190,9.0
115,14.0
584,11.0
180,16.0
301,8.0
720,10.0
732,11.0
687,10.0
649,8.0
638,8.0
517,7.0
932,10.0
45,21.0
945,10.0
157,11.0
705,10.0
171,8.0
16,12.0
511,11.0
48,15.0
919,7.0
797,9.0
515,11.0
650,8.0
480,6.0
283,6.0
620,9.0
225,10.0
26,12.0
807,11.0
437,6.0
900,10.0
364,6.0
229,10.0
37,14.0
914,7.0
374,6.0
469,8.0
916,7.0
806,11.0
689,13.0
194,9.0
809,11.0
819,6.0
503,6.0
918,7.0
787,6.0
579,11.0
917,7.0
162,11.0
666,9.0
152,12.0
757,12.0
664,9.0
716,10.0
111,13.0
226,10.0
652,8.0
103,6.0
421,6.0
419,6.0
711,8.0
586,10.0
740,10.0
119,14.0
