patient,HR_Mean,QRS_Mean,QR_Mean,RS_Mean,PR_Mean,TR_Mean,PP_Mean,QQ_Mean,SS_Mean,TT_Mean,HRV_MeanNN,HRV_SDNN,HRV_SDANN1,HRV_SDNNI1,HRV_SDANN2,HRV_SDNNI2,HRV_SDANN5,HRV_SDNNI5,HRV_RMSSD,HRV_SDSD,HRV_CVNN,HRV_CVSD,HRV_MedianNN,HRV_MadNN,HRV_MCVNN,HRV_IQRNN,HRV_Prc20NN,HRV_Prc80NN,HRV_pNN50,HRV_pNN20,HRV_MinNN,HRV_MaxNN,HRV_HTI,HRV_TINN,VLF_Peak,VLF_Rel,LF_Peak,LF_Rel,HF_Peak,HF_Rel,LF_Norm,HF_Norm,fft_ratio,fft_total,meanEda,stdEda,kurtEda,skewEda,meanDerivative,meanNegativeDerivative,activity,mobility,complexity,peaksCount,meanPeakAmplitude,meanRiseTime,sumPeakAmplitude,sumRiseTime,sma,energy,varSpectralPower,totalEnergyWavelet,energyWavelet_0,energyWavelet_1,energyWavelet_2,energyWavelet_3,distributionEnergy_0,distributionEnergy_1,distributionEnergy_2,distributionEnergy_3,entropyWavelet_0,entropyWavelet_1,entropyWavelet_2,entropyWavelet_3,meanMFCCS_0,meanMFCCS_1,meanMFCCS_2,meanMFCCS_3,meanMFCCS_4,meanMFCCS_5,meanMFCCS_6,meanMFCCS_7,meanMFCCS_8,meanMFCCS_9,meanMFCCS_10,meanMFCCS_11,meanMFCCS_12,meanMFCCS_13,meanMFCCS_14,meanMFCCS_15,meanMFCCS_16,meanMFCCS_17,meanMFCCS_18,meanMFCCS_19,stdMFCCS_0,stdMFCCS_1,stdMFCCS_2,stdMFCCS_3,stdMFCCS_4,stdMFCCS_5,stdMFCCS_6,stdMFCCS_7,stdMFCCS_8,stdMFCCS_9,stdMFCCS_10,stdMFCCS_11,stdMFCCS_12,stdMFCCS_13,stdMFCCS_14,stdMFCCS_15,stdMFCCS_16,stdMFCCS_17,stdMFCCS_18,stdMFCCS_19,medianMFCCS_0,medianMFCCS_1,medianMFCCS_2,medianMFCCS_3,medianMFCCS_4,medianMFCCS_5,medianMFCCS_6,medianMFCCS_7,medianMFCCS_8,medianMFCCS_9,medianMFCCS_10,medianMFCCS_11,medianMFCCS_12,medianMFCCS_13,medianMFCCS_14,medianMFCCS_15,medianMFCCS_16,medianMFCCS_17,medianMFCCS_18,medianMFCCS_19,kurtMFCCS_0,kurtMFCCS_1,kurtMFCCS_2,kurtMFCCS_3,kurtMFCCS_4,kurtMFCCS_5,kurtMFCCS_6,kurtMFCCS_7,kurtMFCCS_8,kurtMFCCS_9,kurtMFCCS_10,kurtMFCCS_11,kurtMFCCS_12,kurtMFCCS_13,kurtMFCCS_14,kurtMFCCS_15,kurtMFCCS_16,kurtMFCCS_17,kurtMFCCS_18,kurtMFCCS_19,skewMFCCS_0,skewMFCCS_1,skewMFCCS_2,skewMFCCS_3,skewMFCCS_4,skewMFCCS_5,skewMFCCS_6,skewMFCCS_7,skewMFCCS_8,skewMFCCS_9,skewMFCCS_10,skewMFCCS_11,skewMFCCS_12,skewMFCCS_13,skewMFCCS_14,skewMFCCS_15,skewMFCCS_16,skewMFCCS_17,skewMFCCS_18,skewMFCCS_19,rmse,mav,var,mnf,mdf,zc,fr,mav_arr_0,mav_arr_1,mav_arr_2,mav_arr_3,std_0,std_1,std_2,std_3,filename
2.0,72.70684760199184,0.065138888888889,0.0271388888888886,0.065138888888889,0.1239999999999998,0.2164444444444447,0.8250857142857143,0.8249714285714286,0.8250571428571429,0.8294,825.0,52.31690762582792,,,,,,,27.01361312593425,27.139518712310075,0.063414433485852,0.0327437734859809,821.0,41.5128,0.0505637028014616,61.0,778.0,858.4,5.714285714285714,31.428571428571427,745.0,956.0,8.75,62.5,0.0390625,9.668701381603643,0.1494140625,27.101814913689616,0.3994140625,63.22948370470674,30.00268492561029,69.99731507438972,0.4286262250734176,19.85083423714544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,67.50345223205626,0.0634117647058823,0.0268529411764706,0.0634117647058823,0.1247352941176471,0.2457941176470588,0.8893333333333334,0.8893939393939394,0.8894545454545456,0.8852121212121212,889.4242424242424,44.96111535470838,,,,,,,29.51059131905018,29.880339312319645,0.0505508094002036,0.0331794321668309,887.0,54.8562,0.0618446448703494,76.0,848.2,930.0,6.0606060606060606,39.39393939393939,828.0,981.0,8.25,46.875,0.0390625,9.66832118718712,0.1494140625,27.100952092572616,0.3994140625,63.23072672024027,30.001603478146084,69.99839652185392,0.4286041533648474,22.248607936414107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,69.88413751646418,0.0609428571428571,0.0279428571428572,0.0609428571428571,0.1250000000000001,0.2456764705882352,0.8581176470588235,0.8580882352941177,0.8581176470588234,0.8540000000000001,858.0882352941177,43.840183343358895,,,,,,,27.69804719076452,27.91932370892312,0.0510905307171963,0.0322787867861523,855.0,51.891,0.0606912280701754,71.5,820.2,901.4,5.88235294117647,58.82352941176471,774.0,947.0,8.5,31.25,0.0390625,9.657255918531092,0.1494140625,27.075838730858965,0.3994140625,63.26690535060994,29.970130978579338,70.02986902142065,0.4279621166992631,20.593940905782382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,71.2607109680787,0.0612571428571427,0.0278285714285712,0.0612571428571427,0.1248000000000002,0.2145142857142858,0.8420588235294117,0.842,0.8425882352941177,0.8422647058823529,842.0,50.153098940477584,,,,,,,28.738106894483984,28.97206726863276,0.0595642505231325,0.0341307682832351,846.0,61.5279,0.0727280141843971,79.0,785.2,892.0,5.88235294117647,38.23529411764706,748.0,924.0,11.333333333333334,39.0625,0.0390625,9.682099035026312,0.1494140625,27.13221736607236,0.3994140625,63.18568359890134,30.040797091370106,69.95920290862988,0.4294045078044248,20.20944930866916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,69.06793549198767,0.0619142857142856,0.0267714285714284,0.0619142857142856,0.1245294117647059,0.2119117647058825,0.8682727272727273,0.8690000000000001,0.8684117647058822,0.8636666666666668,869.0294117647059,26.725864551163355,,,,,,,24.686519447347017,25.06835352560771,0.0307536939364251,0.0284070010901207,870.5,29.652,0.0340631820792647,41.0,845.8,891.4,2.941176470588235,47.05882352941176,819.0,931.0,6.8,31.25,0.0390625,9.67250292297408,0.1494140625,27.11044200271128,0.3994140625,63.21705507431464,30.013498524810338,69.98650147518966,0.4288469618023438,21.719605321510343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,66.94160141875948,0.0611818181818182,0.0282121212121213,0.0611818181818182,0.1244242424242423,0.2198484848484847,0.896625,0.8965624999999999,0.897125,0.9015,896.5,45.987375546745646,,,,,,,31.35540288885762,31.84934293139013,0.0512965706042896,0.0349753518001758,890.0,47.4432,0.0533069662921348,64.75,862.0,940.8,12.5,50.0,814.0,985.0,5.333333333333333,85.9375,0.0390625,9.772198914759258,0.1494140625,27.32565064308049,0.3994140625,62.90215044216024,30.28517853080026,69.71482146919973,0.4344152060144106,17.05062146816296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,69.49009304417665,0.064794117647059,0.0265588235294119,0.064794117647059,0.1248529411764704,0.221235294117647,0.8638181818181818,0.8636666666666666,0.8636060606060607,0.8637878787878789,863.6363636363636,36.99646789037619,,,,,,,24.54460225793036,24.85952468857632,0.0428380154520145,0.0284200657723404,860.0,37.065,0.0430988372093023,54.0,836.8,897.2,6.0606060606060606,45.45454545454545,784.0,935.0,4.714285714285714,54.6875,0.0390625,9.661743172978952,0.1494140625,27.086023223304743,0.3994140625,63.25223360371631,29.98289337724198,70.01710662275802,0.4282223991171963,20.21990781199748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1474034821610075,1.1029207822349263,4.520961896275049,-0.5881049590442756,0.0001317789669338,-0.5520152893187986,36493.02755657105,0.6536307230485198,1.3450195866718009,12.0,0.617499944803489,0.631,7.409999337641868,7.572,25261.39931071389,37144.86115316676,0.0483331425264091,27015.009987783,1589.287573555727,13423.285562820263,8411.680524523877,3590.756326883128,5.882979774112433,49.68824949126681,31.13706242688007,13.291708307740684,-11714.704068670057,-127584.92253069687,-76019.52438203013,-29394.35548696009,349.9513102796043,3.738908576542168,-6.3466159007301925,-1.935224267034516,1.10583371253726,1.184737627731299,0.005969794380651,0.7920783807173142,0.6499188998005403,0.3558884887224715,0.4829496967192094,0.3504663995668968,-0.2423468802989198,0.2664682940240543,0.3162641470082587,0.7365167732601003,0.0788046804161361,0.4857661920774717,0.4309450193464123,-0.1896353613134968,20.05374466974532,7.300903194295387,4.394069717677,4.375632098170118,3.1771438888108285,2.634084080222124,1.8779293052267645,2.7444430435474083,2.429811020102485,2.0529295362657667,1.9970133988742629,2.203114623377649,2.16514096741837,2.680792934980188,1.8417469197278096,2.272658845081,2.167353586911521,1.8025792471624464,2.463742527442874,2.397289963105532,342.0357743543183,4.803004144488976,-6.137058800701876,-1.851281118715256,0.903901380094128,1.6294094704390003,-0.1290717791198437,0.6650851947235962,0.3803009257921926,0.6745187499435605,0.5750651892264331,0.4163132804395349,-0.3174571987587823,0.1049992923413256,0.4365949652744337,0.5402167421399777,-0.0466561747844918,0.4864941229891322,0.2430567199741563,-0.442644485529954,-0.6945165266743163,0.5698955645982169,0.8300004083844188,-0.1471348277609587,0.2435605798612683,0.3531261433213881,0.2429537404880077,-0.3808960541202006,0.2515755473269037,-0.2480398224731272,-0.3390274582885153,-0.7466472282237291,-0.418239769363296,2.425691524266057,-0.1511840815381466,1.5680634155268312,-0.8047414847803935,-0.4374385330274064,-0.3344756539542795,-0.5425223363841969,0.0190434349155272,-0.6777899831795595,0.0932305702118797,0.1883680440487355,0.3816725174131373,-0.6642552458756239,0.5114453855439463,-0.0006377843694848,0.4518770717852965,-0.4735293819404164,-0.4172107257030346,-0.107014499342788,-0.1000469097080887,-0.5554071891245169,-0.0468270124325371,0.2637683467072815,0.3176494586868747,-0.2710773051781767,0.0352904882598519,0.0644538493220878,,,,,,,,,,,,,,,,
2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0417742113850129,0.9158208130384808,0.7328999514543004,0.142576133313088,-2.5739495604691857e-05,-0.518688131405747,25161.83284783392,0.7238884439864497,1.2035485536751866,15.0,0.5381468331700988,0.8611333333333333,8.072202497551482,12.917,21441.347616939573,25214.185389939103,1.1048867815537294e-05,23469.42718347183,1745.5701835685636,11024.927170418689,7082.880172981309,3616.04965650327,7.437634373956381,46.97569772040671,30.17917786237823,15.407490043258688,-13030.39607900878,-102619.07499966514,-62792.82021802636,-29626.791875706727,345.8500630660704,7.213070046629085,-4.5211258647882575,-1.8081219377932711,-1.2048067487285854,0.5144810554584568,-1.190921941104334,0.8664303041817482,0.0148231893245503,-0.852219688010796,-0.1772662839157823,0.452036444658151,0.1201806164949575,-0.0885627648304289,0.4460136186877443,-0.983626657712934,0.4186378204505726,-0.658958134179475,0.364193639734033,0.2774633559251774,6.708223853373921,10.125755248208964,4.863113508478635,3.1041469083074755,2.5392564871459133,2.4245039881563804,1.531786415541086,2.2829074055687046,1.9575919981675456,2.0958246912023992,1.982009254224116,2.0827039398400644,2.461110132978777,2.23945557672503,1.7085135499946675,1.9830666328006616,2.2622655425451423,2.049338930950493,2.1402198988042183,2.210616981481431,346.1211860313309,6.907330816930863,-4.692877214975704,-1.9581327969165248,-0.9171634058307494,0.8874483020353345,-1.2545819883122946,0.8534870550857552,0.2339387463355461,-0.6492041694050876,-0.5261624917026028,0.3179212221213556,0.6959424706924641,-0.2395873125800559,0.3143437544511382,-0.8883878830504218,0.1834598854624982,-0.6328731157777365,0.2699171977582751,0.1782121322385781,5.31557817469006,-0.516657056409612,-0.4295483542812062,-0.8015087217337076,-0.8465388685797484,1.17841261675939,1.2256708083157255,-0.723848670575852,0.0663196826362257,-0.1124442943991947,-0.5727506254364503,-0.4913110910593747,-0.6281684180347309,-0.9550481851253942,-0.3892785283104616,0.4531990654607285,-0.7369413103514151,-0.5571120849460969,-0.5248307422279321,-0.8136188737079673,-1.0604708546676935,-0.0818654834586461,0.3899059207938782,0.0473516569288562,0.0914130983804082,-0.8372424005000572,-0.5412880437144874,0.0370611781939144,-0.4106913849354992,-0.4141542739642007,0.4821949010824782,0.3438095280272343,-0.452284473607816,-0.0735318155088757,-0.079967870287288,-0.0420750334733141,0.2144667674064134,-0.0295648468613289,0.389425721021187,0.094508080178735,,,,,,,,,,,,,,,,
2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2718370858527114,0.9001728879536957,0.6489116133143895,0.166066022048529,-3.081488910420786e-06,-0.5102217790195323,24309.3368462069,0.706485409243266,1.2226128179748053,20.0,0.5801693675938909,0.5909000000000001,11.60338735187782,11.818,22279.7503208458,26526.19888355373,2.34539989904967e-05,22702.474760743506,1473.120163802451,12013.191554941004,6048.957640205515,3167.205401794533,6.488808728243715,52.91577980614644,26.644485695741007,13.95092576986883,-10746.614871871208,-112849.04576411628,-52672.15303896232,-25529.591385233587,345.7550201751272,0.6658617751725828,-0.1895969367794603,0.4048612044060812,-1.0825244293279197,0.782901403415791,-0.2280343891106299,0.5445103583187271,0.0959519268240162,0.7703306880654271,1.408799861024275,0.1720888980287156,-0.3084479495081926,-0.5707503345958121,0.5826349852266649,0.3844394783250778,0.6317949748644767,-0.108437833386176,0.1152537650189871,-0.0031676385494535,7.499565054745399,4.820608645053151,4.700871996290917,3.582831430226048,2.5940655958975114,2.016560907937557,2.2601339114051635,2.1147477306652607,1.9498572203110864,2.4159523744353177,2.0814093280060435,2.606570546452784,2.238770172192494,1.8602357073717632,2.247590660710386,2.204503609141381,2.025926065142139,2.606859525996404,2.360439891397509,2.0135213164119845,346.6435001865693,0.6140456021103433,-0.2749259784101961,0.1881750306394598,-1.153714427063906,0.8371626026280098,-0.1017477122615805,0.6237713373092499,-0.3898676387996884,0.623900002071069,1.484770534652336,-0.4343424385578429,-0.3705712600906694,-0.892078386017501,0.3514034050426406,0.0410660186020057,0.97676765967596,-0.7322827088023043,-0.1084032635462679,0.3293526940911427,7.146361338266983,-0.7560546481203687,-0.8542653299457266,-0.1115204229444537,-0.2079353309573961,-0.1435671811446477,-0.1260079594608072,0.0053026890148899,-0.3452901321498287,-0.3709939238442721,-1.0484735785453945,-0.9996291079789636,-0.5997649597780366,0.1213806831891171,-0.5205018582628944,-0.105132528827931,0.8038559247423862,-0.0301390640883592,0.0802539094279808,-0.2200605566379985,-1.5054214711223497,-0.0904000809228205,-0.1229154181485578,-0.2028706547641399,0.1253215513631943,0.0911654560300841,-0.0198053182679931,0.2950766383458546,0.4041667989322329,-0.1242319582897204,0.1038593404590883,0.2673228679654034,0.198981649482572,0.2344979429738233,0.3463313716504511,0.5462698401061892,-0.6546809399092229,0.4257392792604764,0.3230661943635499,-0.5479757086026754,,,,,,,,,,,,,,,,
