,Stress
141,6.0
2,6.0
46,14.0
822,10.0
134,6.0
339,6.0
584,9.0
607,7.0
964,10.0
820,10.0
295,7.0
271,9.0
184,7.0
862,8.0
244,8.0
495,6.0
552,6.0
467,10.0
215,6.0
892,7.0
631,8.0
438,8.0
345,10.0
679,14.0
452,12.0
421,10.0
250,6.0
413,9.0
478,10.0
275,7.0
72,11.0
599,8.0
381,7.0
64,12.0
3,14.0
535,8.0
122,6.0
570,8.0
408,6.0
914,9.0
848,8.0
865,6.0
217,6.0
519,7.0
71,11.0
182,7.0
429,10.0
170,6.0
292,6.0
518,7.0
543,8.0
300,6.0
828,9.0
871,9.0
793,11.0
788,6.0
880,6.0
23,13.0
123,6.0
598,8.0
910,9.0
422,10.0
371,9.0
937,10.0
611,8.0
943,6.0
968,10.0
642,7.0
175,7.0
18,6.0
194,7.0
619,10.0
836,11.0
334,6.0
377,9.0
559,11.0
142,12.0
355,10.0
973,10.0
736,19.0
431,10.0
198,6.0
15,6.0
265,7.0
632,7.0
800,10.0
44,14.0
532,6.0
837,11.0
593,8.0
824,7.0
561,8.0
836,7.0
465,9.0
588,8.0
199,6.0
777,9.0
658,7.0
181,6.0
408,8.0
678,14.0
108,10.0
862,6.0
478,7.0
726,15.0
268,7.0
909,10.0
603,6.0
676,11.0
604,6.0
57,7.0
738,6.0
310,6.0
56,8.0
618,10.0
15,6.0
262,6.0
303,9.0
633,11.0
43,6.0
100,7.0
274,9.0
367,12.0
353,6.0
101,7.0
875,6.0
677,15.0
228,6.0
107,6.0
637,6.0
497,6.0
928,6.0
817,7.0
854,8.0
572,6.0
370,9.0
688,12.0
300,6.0
400,10.0
72,7.0
700,17.0
333,9.0
464,10.0
583,9.0
481,7.0
750,21.0
506,7.0
519,13.0
150,6.0
937,9.0
582,12.0
106,10.0
311,6.0
925,6.0
405,6.0
718,21.0
119,6.0
309,6.0
226,6.0
740,7.0
734,6.0
870,9.0
767,17.0
290,7.0
148,7.0
728,15.0
729,15.0
771,19.0
759,19.0
261,6.0
557,6.0
782,6.0
131,6.0
884,6.0
137,6.0
459,10.0
286,6.0
569,10.0
520,13.0
743,19.0
909,11.0
553,10.0
2,14.0
204,6.0
861,8.0
543,10.0
881,6.0
7,8.0
26,13.0
610,8.0
741,19.0
541,8.0
931,8.0
493,6.0
287,9.0
277,9.0
801,10.0
358,9.0
412,10.0
236,7.0
551,10.0
821,10.0
910,11.0
208,7.0
353,9.0
890,6.0
58,7.0
549,10.0
813,9.0
542,10.0
363,8.0
111,10.0
374,9.0
251,8.0
568,10.0
302,6.0
781,19.0
906,10.0
811,9.0
118,7.0
712,21.0
712,16.0
522,7.0
513,7.0
81,6.0
141,12.0
939,10.0
380,7.0
669,8.0
84,6.0
640,7.0
329,6.0
6,10.0
692,16.0
704,15.0
921,10.0
809,6.0
451,10.0
490,6.0
760,10.0
287,6.0
843,6.0
933,6.0
335,9.0
563,10.0
223,6.0
744,19.0
663,7.0
766,10.0
662,7.0
127,6.0
67,12.0
745,7.0
327,6.0
221,6.0
720,18.0
60,7.0
855,6.0
813,7.0
177,7.0
777,19.0
654,9.0
86,6.0
375,9.0
850,8.0
457,8.0
783,10.0
54,8.0
869,9.0
643,7.0
221,7.0
113,9.0
905,10.0
202,7.0
922,10.0
174,6.0
727,18.0
589,8.0
524,7.0
18,6.0
423,10.0
310,9.0
285,6.0
548,10.0
428,9.0
946,6.0
276,7.0
669,8.0
31,6.0
269,7.0
917,10.0
214,7.0
756,19.0
326,6.0
560,8.0
554,10.0
416,11.0
661,7.0
341,6.0
629,8.0
147,7.0
264,6.0
360,9.0
83,6.0
48,6.0
468,8.0
155,6.0
58,7.0
904,7.0
788,11.0
369,9.0
177,6.0
772,10.0
500,7.0
179,7.0
613,8.0
948,8.0
730,18.0
812,7.0
584,12.0
528,9.0
346,6.0
914,6.0
908,11.0
772,19.0
920,6.0
932,8.0
601,7.0
17,6.0
243,8.0
350,9.0
651,9.0
442,8.0
312,6.0
435,8.0
849,8.0
711,14.0
308,6.0
430,9.0
660,10.0
370,9.0
566,8.0
500,10.0
181,7.0
802,6.0
621,10.0
458,10.0
440,8.0
564,10.0
795,10.0
54,7.0
296,6.0
834,7.0
461,9.0
278,7.0
605,6.0
377,7.0
80,15.0
105,6.0
126,7.0
107,10.0
485,11.0
355,6.0
581,12.0
682,14.0
755,19.0
807,6.0
209,7.0
819,7.0
140,6.0
404,8.0
306,9.0
246,8.0
814,9.0
583,12.0
174,6.0
711,16.0
351,9.0
593,8.0
839,8.0
10,10.0
656,7.0
100,6.0
282,6.0
291,6.0
754,19.0
626,6.0
643,7.0
849,6.0
129,6.0
151,6.0
323,6.0
69,11.0
218,6.0
887,9.0
818,10.0
393,9.0
808,6.0
695,17.0
215,7.0
5,14.0
158,6.0
573,8.0
634,8.0
516,7.0
395,10.0
597,8.0
195,7.0
895,9.0
35,8.0
410,9.0
96,8.0
923,10.0
874,6.0
156,6.0
419,10.0
22,13.0
477,7.0
963,10.0
668,8.0
30,14.0
182,6.0
690,12.0
447,10.0
978,11.0
178,7.0
390,12.0
578,6.0
799,10.0
668,8.0
336,9.0
608,8.0
832,6.0
409,8.0
907,10.0
16,6.0
664,8.0
142,6.0
483,11.0
396,10.0
421,10.0
636,6.0
373,9.0
799,6.0
47,13.0
615,10.0
294,6.0
859,6.0
853,8.0
88,6.0
41,6.0
758,21.0
882,6.0
131,6.0
195,7.0
279,7.0
50,13.0
808,10.0
465,10.0
164,6.0
724,18.0
290,6.0
155,6.0
770,10.0
847,8.0
940,10.0
778,19.0
839,7.0
348,6.0
893,6.0
571,8.0
797,10.0
838,11.0
435,8.0
557,11.0
894,9.0
946,8.0
458,8.0
375,9.0
333,6.0
135,6.0
717,21.0
424,10.0
816,7.0
91,8.0
926,8.0
810,10.0
944,10.0
878,6.0
102,6.0
328,6.0
976,11.0
318,6.0
720,21.0
578,8.0
692,12.0
167,6.0
12,6.0
171,6.0
649,9.0
260,9.0
649,9.0
376,9.0
672,15.0
258,9.0
844,6.0
867,6.0
819,10.0
138,9.0
893,7.0
792,11.0
549,10.0
724,15.0
493,7.0
209,6.0
700,12.0
558,8.0
139,6.0
694,12.0
531,9.0
224,7.0
723,18.0
786,6.0
679,11.0
199,7.0
409,6.0
325,6.0
754,21.0
299,6.0
555,10.0
420,11.0
25,6.0
856,8.0
714,16.0
930,8.0
193,7.0
440,11.0
573,6.0
503,7.0
605,7.0
148,6.0
684,11.0
743,7.0
846,6.0
3,6.0
533,10.0
824,10.0
467,8.0
321,6.0
5,6.0
222,7.0
341,10.0
547,10.0
228,6.0
39,6.0
542,8.0
242,8.0
898,10.0
372,9.0
136,9.0
289,7.0
713,21.0
707,14.0
580,8.0
829,6.0
445,10.0
842,6.0
66,12.0
385,10.0
130,6.0
780,10.0
581,9.0
721,15.0
917,6.0
661,10.0
436,8.0
809,10.0
376,7.0
686,12.0
965,10.0
624,6.0
314,6.0
697,12.0
442,11.0
696,12.0
319,6.0
281,6.0
691,16.0
481,11.0
470,10.0
424,9.0
553,6.0
594,8.0
911,11.0
368,8.0
922,6.0
358,10.0
622,6.0
449,7.0
579,8.0
133,6.0
227,6.0
439,8.0
815,9.0
298,6.0
75,11.0
66,11.0
393,12.0
579,9.0
24,6.0
211,7.0
784,10.0
144,6.0
536,6.0
811,7.0
96,16.0
392,9.0
85,6.0
759,10.0
272,9.0
952,8.0
256,9.0
588,8.0
51,13.0
761,10.0
630,8.0
1,14.0
340,10.0
901,7.0
825,9.0
339,10.0
120,6.0
505,7.0
273,9.0
21,13.0
507,7.0
285,9.0
362,8.0
576,8.0
128,6.0
43,14.0
192,7.0
322,10.0
53,13.0
665,8.0
364,8.0
77,7.0
27,6.0
403,10.0
525,9.0
835,11.0
55,8.0
638,6.0
302,6.0
718,18.0
624,6.0
7,10.0
803,6.0
336,6.0
47,6.0
446,7.0
106,6.0
349,6.0
238,7.0
213,7.0
225,6.0
282,9.0
793,6.0
907,11.0
635,11.0
523,7.0
232,7.0
644,7.0
474,10.0
533,6.0
475,10.0
603,7.0
301,6.0
272,7.0
60,7.0
233,8.0
92,8.0
666,8.0
280,6.0
90,8.0
359,9.0
180,6.0
145,12.0
847,6.0
628,7.0
110,9.0
42,6.0
125,7.0
204,6.0
52,8.0
545,10.0
68,11.0
511,10.0
710,14.0
183,7.0
137,9.0
899,10.0
796,6.0
132,6.0
80,6.0
506,10.0
541,8.0
560,11.0
0,14.0
165,6.0
248,6.0
446,10.0
124,6.0
858,6.0
186,6.0
97,7.0
921,6.0
737,19.0
527,7.0
102,7.0
434,8.0
74,7.0
748,7.0
176,6.0
918,10.0
673,11.0
634,11.0
585,12.0
762,17.0
6,14.0
388,11.0
235,7.0
473,10.0
267,7.0
756,21.0
117,7.0
571,8.0
673,15.0
249,6.0
419,11.0
942,9.0
94,8.0
33,6.0
889,6.0
631,7.0
448,10.0
716,16.0
732,6.0
484,11.0
0,6.0
659,7.0
118,6.0
125,6.0
82,6.0
257,9.0
676,15.0
418,11.0
63,12.0
770,19.0
190,7.0
250,8.0
892,6.0
639,11.0
404,6.0
687,12.0
266,6.0
307,9.0
104,6.0
688,16.0
346,10.0
826,6.0
62,7.0
852,6.0
320,10.0
223,7.0
145,7.0
