tsne_3_f1,tsne_3_f2,tsne_3_f3
9725.677,-14775.871,7272.602
149181.33,-4392.18,-23577.75
-61817.58,-3118.4556,-78.27043
-8849.009,30058.756,-6189.6753
53150.348,-14443.233,-13712.549
-52078.867,88258.57,-8590.309
58480.082,-2106.5251,18003.559
172277.48,-2519.833,-9002.627
-63345.617,-22292.574,1699.0386
-38698.8,10335.894,2158.327
-50395.613,38451.87,-5513.744
-21514.752,-3056.6968,3921.0132
-49663.207,-18308.244,7791.0493
-48967.066,-12648.994,5715.75
-24128.23,-1842.048,10319.948
59775.887,-3134.4602,18696.264
50786.15,-4957.7515,23041.107
151559.66,-4558.656,-28202.096
-40584.75,-5801.0996,-2643.587
-63454.496,-24314.908,1817.2767
117583.625,-1760.1842,14105.833
118536.72,-12112.471,-40693.203
-54959.51,-16386.229,3889.323
-62337.08,-1170.8291,-1031.1205
-51536.652,-4454.082,-470.21423
1196.3271,-11108.215,-11187.739
269171.12,33189.87,83045.555
16177.446,-9019.4,-4706.761
138290.6,3757.3691,-38290.824
-55888.754,81555.07,-8809.36
-63475.01,-28945.828,2476.723
253218.14,17747.875,27818.93
-25543.342,17595.773,426.84073
-63660.75,-29796.39,2516.6423
-62711.652,-10951.775,324.2214
36709.848,-12001.001,-4481.3506
-60752.55,5074.043,-677.329
-34046.332,14472.803,1191.5502
-54069.496,13283.969,-2451.3455
-62821.062,-21242.477,1978.8602
-58656.707,40375.777,-4094.2498
-41363.727,6530.0547,1283.8236
75108.99,-8462.5625,-17453.047
46755.516,-8868.259,8609.859
-63129.477,-22765.55,1753.3252
-34572.23,8060.845,-3788.3774
-6810.1616,-17722.404,-1869.8933
-59222.445,23621.197,-2183.791
-1845.5004,-5511.387,10489.892
27374.137,-10846.954,15505.917
70739.32,-6526.532,2829.0264
-51761.984,-19963.865,3792.487
-63235.81,-27654.436,2275.6204
-6126.8433,847.97107,-9253.737
-61386.69,-1342.5094,-52.227943
-37682.49,-21182.662,4215.583
-27174.244,47142.98,-7277.504
-62443.17,-5929.5625,-197.65091
-62397.953,-25868.562,2284.071
106199.4,-4191.9473,4316.2754
-63678.617,-29757.98,2674.8438
47998.773,-7861.601,2346.4688
-32193.27,24863.506,6832.4795
-61997.62,-9377.25,809.8673
57046.004,-7303.7163,15728.631
-38034.844,31841.734,-5052.882
-59894.42,36081.406,-4625.508
66647.266,-12246.227,-19087.191
-57810.188,1655.8472,-1715.8652
-9825.759,-3686.048,-12365.141
-60210.48,29990.254,-3730.5212
54777.895,-4497.476,29470.658
-61347.18,-689.8368,-572.2335
-35512.184,3264.7046,-945.0694
121368.86,1569.3281,-11586.87
-4827.573,-12473.447,19632.479
-57709.13,9432.364,1542.0142
-35447.547,-11633.552,-622.8244
-63055.414,-20493.012,1629.3024
-61866.668,-17587.068,2039.895
164288.48,-7410.639,-38435.176
65742.91,29799.46,33895.16
-34992.1,-22064.201,-1651.3165
-47663.24,-18956.38,-699.69214
